id,article,txt
4.1.1,1,"Article 1 A Council of the European Communities (hereinafter called the ""Council"") is hereby established. This Council shall take the place of the Special Council of Ministers of the European Coal and Steel Community, the Council of the European Economic Community and the Council of the European Atomic Energy Community. It shall exercise the powers and competences conferred on those institutions in accordance with the provisions of the Treaties establishing the European Coal and Steel Community, the European Economic Community and the European Atomic Energy Community, and of this Treaty."
4.2.9,9,"Article 9 A Commission of the European Communities (hereinafter called the ""Commission"") is hereby established. This Commission shall take the place of the High Authority of the European Coal and Steel Community, the Commission of the European Economic Community and the Commission of the European Atomic Energy Community. It shall exercise the powers and competences conferred on those institutions in accordance with the provisions of the Treaties establishing the European Coal and Steel Community, the European Economic Community and the European Atomic Energy Community, and of this Treaty."
4.3.20,20,"Article 20 1. The administrative expenditure and revenue of the European Coal and Steel Community, the revenue and expenditure of the European Economic Community, and the revenue and expenditure of the European Atomic Energy Community, with the exception of that of the Supply Agency, joint undertakings, and the expenditure and revenue to be included in the Research and Investment Budget of the European Atomic Energy Community, shall be included in the budget of the European Communities in accordance with the appropriate provisions of the Treaties establishing the three Communities. This budget, in which revenue and expenditure shall balance, shall take the place of the administrative budget of the European Coal and Steel Community, of the budget of the European Economic Community and of the operational budget of the European Atomic Energy Community. 2. The portion of the expenditure covered by the levies provided for in Article 49 of the Treaty establishing the European Coal and Steel Community shall be fixed at eighteen million units of account. As from the financial year beginning 1 January 1967, the Commission shall submit annually to the Council a report on the basis of which the Council shall examine whether there is reason to adjust this figure to changes in the budget of the Communities. The Council shall act by the majority laid down in the first sentence of the fourth paragraph of Article 28 of the Treaty establishing the European Coal and Steel Community. The adjustment shall be made on the basis of an assessment of developments in expenditure arising from the application of the Treaty establishing the European Coal and Steel Community. 3. The portion of the levies assigned to cover expenditure under the budget of the Communities shall be allocated by the Commission for the implementation of that budget in accordance with the timetable provided for in the financial regulations adopted pursuant to Article 209(b) of the Treaty establishing the European Economic Community and Article 183(b) of the Treaty establishing the European Atomic Energy Community relating to the methods and procedure whereby the contributions of the Member States shall be made available."
4.3.22,22,"Article 22 An audit board of the European Communities is hereby established. The Audit Board shall take the place of the audit boards of the European Coal and Steel Community, the European Economic Community and the European Atomic Energy Community. It shall, under the conditions laid down in the treaties establishing the three Communities, exercise the powers and competences conferred on those bodies by these treaties."
4.4.24,24,"Article 24 1. The officials and other servants of the European Coal and Steel Community, the European Economic Community and the European Atomic Energy Community shall, at the date of entry into force of this Treaty, become officials and other servants of the European Communities and form part of the single administration of those Communities. The Council shall, acting by a qualified majority on a proposal from the Commission and after consulting the other institutions concerned, lay down the staff regulations of officials of the European Communities and the conditions of employment of other servants of those Communities."
4.4.25,25,"Article 25 Until the uniform staff regulations and conditions of employment provided for in Article 24 and the regulations to be made pursuant to Article 13 of the Protocol annexed to this Treaty enter into force, officials and other servants recruited before the date of entry into force of this Treaty shall continue to be governed by the provisions which were until then applicable to them. Officials and other servants recruited on or after the date of entry into force of this Treaty shall, pending the adoption of the uniform staff regulations and conditions of employment provided for in Article 24 and of regulations to be made pursuant to Article 13 of the Protocol annexed to this Treaty, be governed by the provisions applicable to officials and other servants of the European Economic Community and of the European Atomic Energy Community."
4.5.28,28,"The European Communities shall enjoy in the territories of the Member States such privileges and immunities as are necessary for the performance of their tasks, under the conditions laid down in the Protocol annexed to this Treaty. The same shall apply to the European Investment Bank."
4.5.29,29,"Article 29 The competences conferred upon the Council by Articles 5, 6, 10, 12, 13, 24, 34 and 35 of this Treaty and by the Protocol annexed thereto shall be exercised according to the rules laid down in Articles 148, 149 and 150 of the Treaty establishing the European Economic Community and Articles 118, 119 and 120 of the Treaty establishing the European Atomic Energy Community."
4.5.30,30,"Article 30 The provisions of the Treaties establishing the European Economic Community and the European Atomic Energy Community relating to the jurisdiction of the Court of Justice and its exercise, shall be applicable to the provisions of this Treaty and of the Protocol annexed thereto, with the exception of those which represent amendments to Articles of the Treaty establishing the European Coal and Steel Community, in respect of which the provisions of the Treaty establishing the European Coal and Steel Community shall remain applicable."
4.5.31,31,"Article 31 The Council shall take up its duties on the date of entry into force of this Treaty. On that date the Presidency of the Council shall be held by the member of the Council who, in accordance with the rules laid down in the Treaties establishing the European Economic Community and the European Atomic Energy Community, was to take up the Presidency of the Council of the European Economic Community and of the European Atomic Energy Community; this will apply for the remainder of his term of office. On expiry of this term, the Presidency shall then be held in the order of Member States laid down in Article 2 of this Treaty."
4.5.32,32,"Article 32 1. Until the date of entry into force of a Treaty establishing a Single European Community, or until three years after the appointment of its members, whichever is the earlier, the Commission shall consist of fourteen members. During this period, not more than three members may have the nationality of the same state. 2. The President, the Vice-Presidents and the Members of the Commission shall be appointed upon the entry into force of this Treaty. The Commission shall take up its duties on the fifth day after the appointment of its members. The term of office of the members of the High Authority and of the Commissioners of the European Economic Community and of the European Atomic Energy Community shall end at the same time."
4.5.33,33,"Article 33 The term of office of the Members of the Commission provided for in Article 32 shall expire on the date determined by Article 32(1). The Members of the Commission provided for in Article 10 shall be appointed one month before that date at the latest. If any or all of these appointments are not made within the required time, the provisions of the third paragraph of Article 12 shall not be applicable to that Member who, among the nationals of each State, has least seniority as a Member of a Commission or of the High Authority or, where two or more Members have the same seniority, to the youngest of them. The provisions of the third paragraph of Article 12 shall remain applicable, however, to all Members of the same nationality, where, before the date determined by Article 32(1), a Member of that nationality ceased to hold office and had not been replaced."
4.5.34,34,"Article 34 The Council shall, acting unanimously, make financial arrangements for past Members of the High Authority and of the Commissions of the European Economic Community and of the European Atomic Energy Community who, having ceased to hold office in pursuance of Article 32, have not been appointed Members of the Commission."
4.5.35,35,"Article 35 1. The first budget of the Communities shall be established and adopted for the financial year beginning 1 January following the entry into force of this Treaty. 2. If this Treaty enters into force before 1 July 1965, the general estimates of the administrative expenditure of the European Coal and Steel Community which expire on 1 July shall be extended until 31 December of the same year; the appropriations made in these estimates shall be proportionately increased, unless the Council, acting by a qualified majority, decides otherwise. If this Treaty enters into force after 30 June 1965, the Council shall, acting unanimously on a proposal from the Commission, take the appropriate decisions, taking account of the need to ensure that the Communities function smoothly and that the first budget of the Communities is adopted at as early a date as possible."
4.5.36,36,"Article 36 The chairman and members of the Audit Board of the European Economic Community and of the European Atomic Energy Community shall take up the duties of the chairman and members of the Audit Board of the European Communities upon the entry into force of this Treaty and for the remainder of their terms of office. The auditor who, pursuant to Article 78 of the Treaty establishing the European Coal and Steel Community, is in office on the date of the entry into force of this Treaty, shall take up the duties of the auditor provided for in Article 78e of that Treaty for the remainder of his term of oflice."
4.5.37,37,"Article 37 Without prejudice to the application of Article 77 of the Treaty establishing the European Coal and Steel Community, Article 216 of the Treaty establishing the European Economic Community, Article 189 of the Treaty establishing the European Atomic Energy Community and the second paragraph of Article 1 of the Protocol on the Statute of the European Investment Bank, the Representatives of the Governments of the Member States shall by common accord lay down the provisions required in order to settle certain problems peculiar to the Grand Duchy of Luxembourg which arise out of the creation of a single Council and a single Commission of the European Communities. The decision of the Representatives of the Governments of the Member States shall enter into force on the same date as this Treaty."
4.5.38,38,Article 38 This Treaty shall be ratified by the High Contracting Parties in accordance with their respective constitutional requirements. The instruments of ratification shall be deposited with the Government of the Italian Republic. This Treaty shall enter into force on the first day of the month following the deposit of the instrument of ratification by the last signatory State to take this step.
4.5.39,39,"Article 39 This Treaty, drawn up in a single original in the Dutch, French, German and Italian languages, all four texts being equally authentic, shall be deposited in the archives of the Government of the Italian Republic, which shall transmit a certified copy to each of the governments of the other signatory States. IN WITNESS WHEREOF, the undersigned Plenipotentiaries have signed this Treaty. Done at Brussels this eighth day of April in the year one thousand nine hundred and sixty-five."
